school_number,school_name,wida_student_group,wida_exit_denom,wida_n_exit,wida_pct_exit,wida_growth_standard_denom,wida_n_met_growth_standard,wida_pct_met_growth_standard,wida_literacy_avg,wida_comp_avg,tvaas_overall_comp,tvaas_lit_comp,tvaas_num_comp,tvaas_litandnum_comp,tvaas_sci_comp,tvaas_ss_comp,merge_step1,letter_grade,merge_step2,act_validtests,act_part_rate,act_avg_eng,act_avg_math,act_avg_reading,act_avg_sci,act_avg_comp,num_scoring_21orhigher,pct_scoring_21orhigher,num_scoring_below19,pct_scoring_below19,merge_step3,hs_grad_cohort_state,hs_grad_count_state,hs_grad_rate_state,hs_grad_cohort_federal,hs_grad_count_federal,hs_grad_rate_federal,merge_step4,school_type,short_address,city,zip,metro_dist,schbrd_dist,schbrd_mbr,long,lat,cluster_geo,cluster_name,geometry,within_1mile_park,within_1mile_library
150,Cumberland Elementary,All Students,59.0,3,5.1,34.0,13,38.2,2.5,2.6,3.0,4.0,3.0,3.0,4.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,4247 Cato Rd,Nashville,37218,1,1,Robert Taylor,-86.866574,36.212076,Whites Creek,Whites Creek,POINT (-9669942.784636218 4329842.077770575),yes,yes
160,Dan Mills Elementary,All Students,72.0,9,12.5,58.0,34,58.6,2.8,3,4.0,3.0,5.0,4.0,3.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,4106 Kennedy Ave,Nashville,37216,7,3,Zach Young,-86.716757,36.218351,Stratford,Stratford,POINT (-9653265.23248404 4330707.876986512),yes,yes
165,Dodson Elementary,All Students,93.0,8,8.6,60.0,38,63.3,2.9,3.1,3.0,3.0,5.0,3.0,1.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,4401 Chandler Rd,Nashville,37076,12,4,Berthena Nabaa-Mckinney,-86.603385,36.190713,McGavock,McGavock,POINT (-9640644.719173826 4326895.017502731),yes,no
180,DuPont Elementary,All Students,52.0,3,5.8,36.0,14,38.9,2.6,2.8,4.0,3.0,5.0,4.0,3.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1311 9th St,Old Hickory,37138,11,4,Berthena Nabaa-Mckinney,-86.652631,36.261389,McGavock,McGavock,POINT (-9646126.758817432 4336647.959571397),yes,yes
195,Eakin Elementary,All Students,47.0,3,6.4,18.0,8,44.4,2.6,2.7,5.0,4.0,5.0,5.0,1.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,2500 Fairfax Ave,Nashville,37212,18,8,Erin O’Hara Block,-86.808064,36.135273,Hillsboro,Hillsboro,POINT (-9663429.481229903 4319250.7279326),yes,yes
208,Thomas A. Edison Elementary,All Students,312.0,28,9,196.0,117,59.7,2.7,2.9,5.0,5.0,5.0,5.0,,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,6130 Mt. View Rd,Antioch,37013,8,6,Cheryl Mayes,-86.604422,36.062875,Antioch,Antioch,POINT (-9640760.15748578 4309276.327532576),no,yes
220,Fall-Hamilton Elementary,All Students,35.0,3,8.6,25.0,16,64,3,3.2,2.0,3.0,3.0,2.0,2.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,510 Wedgewood Ave,Nashville,37203,17,5,Tekendrea Fayne,-86.765055,36.134399,Glencliff,Glencliff,POINT (-9658641.741250375 4319130.260572455),yes,yes
235,Gateway Elementary,All Students,122.0,12,9.8,76.0,39,51.3,2.5,2.8,3.0,3.0,4.0,3.0,1.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1524 Monticello Ave,Madison,37115,10,3,Zach Young,-86.710623,36.292353,Hunters Lane,Hunters Lane,POINT (-9652582.398727516 4340923.6195153715),yes,no
240,Glencliff Elementary,All Students,316.0,**,**,213.0,107,50.2,2.5,2.7,5.0,5.0,5.0,5.0,,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,120 Antioch Pike,Nashville,37211,16,7,Freda Player,-86.723105,36.101633,Glencliff,Glencliff,POINT (-9653971.888611598 4314614.942588839),no,no
250,Glendale Elementary,All Students,6.0,*,*,4.0,*,*,*,*,1.0,1.0,1.0,1.0,3.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,800 Thompson Ave,Nashville,37204,25,8,Erin O’Hara Block,-86.784936,36.095304,Hillsboro,Hillsboro,POINT (-9660854.884046836 4313742.991912396),no,no
255,Glengarry Elementary,All Students,254.0,28,11,161.0,103,64,2.7,2.9,5.0,5.0,5.0,5.0,,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,200 Finley Dr,Nashville,37217,13,7,Freda Player,-86.706218,36.110792000000004,Glencliff,Glencliff,POINT (-9652092.036370572 4315876.908693055),no,no
265,Glenview Elementary,All Students,477.0,27,5.7,292.0,145,49.7,2.5,2.7,3.0,3.0,3.0,3.0,2.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1020 Patricia Dr,Nashville,37217,13,7,Freda Player,-86.706218,36.110792000000004,Glencliff,Glencliff,POINT (-9652092.036370572 4315876.908693055),no,no
270,Goodlettsville Elementary,All Students,87.0,5,5.7,56.0,20,35.7,2.5,2.7,5.0,3.0,5.0,5.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,514 Donald St,Goodlettsville,37072,10,3,Zach Young,-86.710655,36.313092,Hunters Lane,Hunters Lane,POINT (-9652585.960951222 4343788.3105608),yes,no
280,Gower Elementary,All Students,129.0,7,5.4,82.0,40,48.8,2.5,2.7,1.0,2.0,1.0,1.0,5.0,,both,B,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,650 Old Hickory Blvd,Nashville,37209,35,9,Abigail Tylor,-86.922292,36.115349,Lawson,Lawson,POINT (-9676145.284024237 4316504.846423295),no,no
290,Granbery Elementary,All Students,137.0,14,10.2,93.0,53,57,2.8,3,5.0,5.0,5.0,5.0,,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,5501 Hill Rd,Brentwood,37027,26,2,Rachel Anne Elrod,-86.753051,36.046797,Overton,Overton,POINT (-9657305.462082893 4307062.479096717),yes,no
300,Harpeth Valley Elementary,All Students,35.0,5,14.3,21.0,15,71.4,3.2,3.4,3.0,4.0,2.0,3.0,3.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,7840 Learning Ln,Nashville,37221,35,9,Abigail Tylor,-86.958055,36.045533,Lawson,Lawson,POINT (-9680126.402973477 4306888.45271482),yes,no
310,Haywood Elementary,All Students,420.0,43,10.2,256.0,162,63.3,2.7,2.9,4.0,5.0,1.0,4.0,,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3790 Turley Dr,Nashville,37211,30,7,Freda Player,-86.708334,36.074247,Overton,Overton,POINT (-9652327.588413088 4310842.459904057),yes,no
318,Henry C. Maxwell Elementary,All Students,288.0,23,8,186.0,98,52.7,2.7,2.8,5.0,5.0,5.0,5.0,,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,5535 Blue Hole Rd,Antioch,37013,31,2,Rachel Anne Elrod,-86.673957,36.030841,Cane Ridge,Cane Ridge,POINT (-9648500.758278089 4304865.876314407),no,no
320,Hermitage Elementary,All Students,82.0,8,9.8,52.0,23,44.2,2.8,2.9,1.0,1.0,3.0,1.0,2.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3800 Plantation Dr,Hermitage,37076,14,4,Berthena Nabaa-Mckinney,-86.635375,36.197997,McGavock,McGavock,POINT (-9644205.829684302 4327899.766681491),yes,no
327,Hickman Elementary,All Students,101.0,7,6.9,62.0,35,56.5,2.8,3,3.0,3.0,3.0,3.0,4.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,112 Stewarts Ferry Pike,Nashville,37214,15,4,Berthena Nabaa-Mckinney,-86.657737,36.165747,McGavock,McGavock,POINT (-9646695.156137422 4323451.936145221),yes,no
350,Hull-Jackson Elementary,All Students,1.0,*,*,1.0,*,*,*,*,4.0,5.0,3.0,5.0,2.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1015 Kellow St,Nashville,37208,2,5,Tekendrea Fayne,-86.807043,36.190145,Pearl-Cohn,Pearl-Cohn,POINT (-9663315.824029801 4326816.671961707),yes,no
360,Inglewood Elementary,All Students,16.0,**,**,8.0,*,*,2.1,2.3,4.0,3.0,5.0,4.0,4.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1700 Riverside Dr,Nashville,37216,7,3,Zach Young,-86.723846,36.197838,Stratford,Stratford,POINT (-9654054.376354273 4327877.833349763),yes,no
370,J. E. Moss Elementary,All Students,462.0,37,8,304.0,169,55.6,2.6,2.8,5.0,5.0,4.0,5.0,,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,4701 Bowfield Dr,Antioch,37013,28,7,Freda Player,-86.669773,36.067666,Antioch,Antioch,POINT (-9648034.99752861 4309936.108250846),no,no
380,Joelton Elementary,All Students,36.0,2,5.6,25.0,8,32,2.8,3,5.0,5.0,4.0,5.0,3.0,,both,B,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,7141 Whites Creek Pike,Joelton,37080,1,1,Robert Taylor,-86.867475,36.31562,Whites Creek,Whites Creek,POINT (-9670043.083497422 4344137.55688096),no,no
387,Jones Elementary,All Students,16.0,1,6.3,9.0,*,*,2.1,2.3,5.0,4.0,5.0,5.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1800 9th Ave N,Nashville,37208,21,5,Tekendrea Fayne,-86.80112,36.181681,Pearl-Cohn,Pearl-Cohn,POINT (-9662656.478685834 4325649.280368345),no,no
390,John B. Whitsitt Elementary,All Students,274.0,23,8.4,190.0,121,63.7,2.8,2.9,4.0,5.0,2.0,4.0,3.0,,both,B,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,110 Whitsett Rd,Nashville,37210,16,7,Freda Player,-86.73569,36.115052,Glencliff,Glencliff,POINT (-9655372.844403232 4316463.919812761),no,no
415,Julia Green Elementary,All Students,8.0,*,*,3.0,*,*,*,*,4.0,4.0,4.0,4.0,2.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3500 Hobbs Rd,Nashville,37215,34,8,Erin O’Hara Block,-86.833456,36.102595,Hillsboro,Hillsboro,POINT (-9666256.105740124 4314747.484138791),no,no
430,Lakeview Elementary,All Students,277.0,**,**,178.0,93,52.2,2.5,2.6,5.0,3.0,5.0,5.0,,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,455 Rural Hill Rd,Nashville,37217,29,6,Cheryl Mayes,-86.630077,36.078822,Antioch,Antioch,POINT (-9643616.05902208 4311472.584947533),yes,no
435,Lockeland Elementary,All Students,5.0,*,*,4.0,*,*,*,*,3.0,3.0,3.0,3.0,4.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,105 S 17th St,Nashville,37206,6,3,Zach Young,-86.739526,36.176232,Stratford,Stratford,POINT (-9655799.865969913 4324897.797391562),yes,no
465,McGavock Elementary,All Students,137.0,9,6.6,91.0,51,56,2.6,2.8,5.0,4.0,4.0,4.0,5.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,275 McGavock Pike,Nashville,37214,15,4,Berthena Nabaa-Mckinney,-86.680738,36.160177,McGavock,McGavock,POINT (-9649255.615745159 4322683.922568982),yes,no
493,Mt. View Elementary,All Students,422.0,40,9.5,281.0,149,53,2.8,3,5.0,5.0,3.0,5.0,,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3820 Murfreesboro Rd,Antioch,37013,8,6,Cheryl Mayes,-86.604603,36.041866,Antioch,Antioch,POINT (-9640780.306313613 4306383.599266416),no,no
510,Napier Elementary,All Students,6.0,*,*,4.0,*,*,*,*,4.0,3.0,5.0,4.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,70 Donelson St,Nashville,37210,17,5,Tekendrea Fayne,-86.755426,36.150134,McGavock,McGavock,POINT (-9657569.845873527 4321299.291976476),yes,no
515,Neely's Bend Elementary,All Students,143.0,13,9.1,104.0,60,57.7,2.7,2.9,1.0,3.0,1.0,1.0,1.0,3.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1300 Neely's Bend Rd,Madison,37115,9,3,Zach Young,-86.673707,36.239839,Hunters Lane,Hunters Lane,POINT (-9648472.92840539 4333673.230875539),no,no
525,Norman Binkley Elementary,All Students,448.0,41,9.2,298.0,178,59.7,2.6,2.8,5.0,5.0,3.0,5.0,3.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,4700 W Longdale Dr,Nashville,37211,26,2,Rachel Anne Elrod,-86.7485,36.076983,Overton,Overton,POINT (-9656798.847080294 4311219.290933689),no,no
535,Old Center Elementary,All Students,87.0,8,9.2,60.0,34,56.7,2.8,3,2.0,3.0,2.0,2.0,3.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1245 Dickerson Pike S,Goodlettsville,37072,3,3,Zach Young,-86.737607,36.291084,Hunters Lane,Hunters Lane,POINT (-9655586.24386708 4340748.356478596),no,no
540,Paragon Mills Elementary,All Students,365.0,30,8.2,243.0,122,50.2,2.6,2.7,4.0,5.0,3.0,4.0,,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,260 Paragon Mills Rd,Nashville,37211,30,7,Freda Player,-86.707061,36.087426,Glencliff,Glencliff,POINT (-9652185.878701309 4312657.732543156),no,no
545,Park Avenue Elementary,All Students,20.0,**,**,13.0,5,38.5,2.3,2.5,3.0,3.0,3.0,3.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3703 Park Ave,Nashville,37209,24,5,Tekendrea Fayne,-86.829683,36.151023,Pearl-Cohn,Pearl-Cohn,POINT (-9665836.097301362 4321421.851445933),yes,no
565,Pennington Elementary,All Students,41.0,**,**,29.0,16,55.2,2.7,2.8,1.0,3.0,1.0,2.0,2.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,2817 Donna Hill Dr,Nashville,37214,15,4,Berthena Nabaa-Mckinney,-86.681432,36.203373,McGavock,McGavock,POINT (-9649332.87147177 4328641.38781276),no,no
570,Percy Priest Elementary,All Students,13.0,3,23.1,8.0,*,*,3.5,3.8,3.0,3.0,3.0,3.0,4.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1700 Otter Creek Rd,Nashville,37215,34,8,Erin O’Hara Block,-86.833832,36.06189,Hillsboro,Hillsboro,POINT (-9666297.961868664 4309140.68567241),no,no
600,Rosebank Elementary,All Students,21.0,**,**,18.0,10,55.6,2.8,3,4.0,3.0,5.0,4.0,3.0,,both,B,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1012 Preston Dr,Nashville,37206,6,3,Zach Young,-86.717782,36.183987,Stratford,Stratford,POINT (-9653379.334962104 4325967.321388386),no,no
607,Ruby Major Elementary,All Students,66.0,5,7.6,45.0,25,55.6,2.8,3.1,4.0,3.0,3.0,3.0,5.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,5141 John Hager Rd,Hermitage,37076,12,4,Berthena Nabaa-Mckinney,-86.579261,36.156461,McGavock,McGavock,POINT (-9637959.24777793 4322171.576171803),no,no
608,May Werthan Shayne Elementary School,All Students,181.0,16,8.8,130.0,53,40.8,2.8,2.9,5.0,4.0,5.0,5.0,,,both,B,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,6217 Nolensville Rd,Nashville,37211,4,2,Rachel Anne Elrod,-86.71352,36.020902,Overton,Overton,POINT (-9652904.891292343 4303497.8362927735),yes,no
610,Shwab Elementary,All Students,138.0,**,**,103.0,66,64.1,2.8,2.9,3.0,3.0,3.0,3.0,3.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1500 Dickerson Rd,Nashville,37207,2,1,Robert Taylor,-86.770797,36.199913,Maplewood,Maplewood,POINT (-9659280.937766511 4328164.073728722),yes,no
615,Stanford Elementary,All Students,15.0,3,20,11.0,8,72.7,3.5,3.9,2.0,1.0,3.0,2.0,2.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,2417 Maplecrest Dr,Nashville,37214,15,4,Berthena Nabaa-Mckinney,-86.681508,36.176686,McGavock,McGavock,POINT (-9649341.33175307 4324960.407484401),no,no
618,Robert Churchwell Elementary,All Students,28.0,3,10.7,16.0,7,43.8,2.7,2.8,5.0,5.0,3.0,5.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1625 Dr. D. B. Todd Jr. Blvd,Nashville,37208,21,5,Tekendrea Fayne,-86.809859,36.175849,Pearl-Cohn,Pearl-Cohn,POINT (-9663629.299715878 4324844.979027075),no,no
625,Stratton Elementary,All Students,225.0,**,**,154.0,53,34.4,2.5,2.7,3.0,3.0,3.0,3.0,2.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,310 Old Hickory Blvd W,Madison,37115,3,3,Zach Young,-86.717687,36.26561,Hunters Lane,Hunters Lane,POINT (-9653368.75961048 4337230.7159943385),yes,no
630,Sylvan Park Elementary,All Students,6.0,*,*,5.0,*,*,*,*,4.0,3.0,4.0,4.0,2.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,4801 Utah Ave,Nashville,37209,24,8,Erin O’Hara Block,-86.844516,36.14428,Hillsboro,Hillsboro,POINT (-9667487.2993083 4320492.281521802),yes,no
635,Tom Joy Elementary,All Students,137.0,**,**,105.0,43,41,2.4,2.6,3.0,3.0,3.0,3.0,3.0,,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,2201 Jones Ave,Nashville,37207,5,1,Robert Taylor,-86.756346,36.20856,Maplewood,Maplewood,POINT (-9657672.259805055 4329356.984608258),yes,no
637,Tulip Grove Elementary,All Students,166.0,15,9,122.0,70,57.4,2.9,3,3.0,3.0,4.0,3.0,1.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,441 Tyler Dr,Hermitage,37076,14,4,Berthena Nabaa-Mckinney,-86.611194,36.198286,McGavock,McGavock,POINT (-9641514.01307743 4327939.6330400165),yes,no
645,Tusculum Elementary,All Students,439.0,43,9.8,291.0,164,56.4,2.6,2.8,5.0,5.0,5.0,5.0,,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,440 McMurray Dr,Nashville,37211,28,2,Rachel Anne Elrod,-86.720104,36.061862,Overton,Overton,POINT (-9653637.818819728 4309136.829888008),no,no
655,Una Elementary,All Students,456.0,**,**,273.0,117,42.9,2.4,2.5,5.0,5.0,4.0,5.0,3.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,2018 Murfreesboro Rd,Nashville,37217,13,7,Freda Player,-86.652885,36.095037,Antioch,Antioch,POINT (-9646155.033968093 4313706.208682869),no,no
670,Carter-Lawrence Elementary,All Students,14.0,5,35.7,13.0,7,53.8,3.5,3.7,3.0,3.0,4.0,3.0,3.0,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,1118 12th Ave S,Nashville,37203,17,5,Tekendrea Fayne,-86.786585,36.143384,Hillsboro,Hillsboro,POINT (-9661038.449887155 4320368.767641343),no,no
675,Warner Elementary,All Students,12.0,1,8.3,10.0,4,40,3.1,3.4,3.0,4.0,3.0,3.0,3.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,626 Russell St,Nashville,37206,6,1,Robert Taylor,-86.760229,36.172181,Stratford,Stratford,POINT (-9658104.513387807 4324339.149384826),no,no
695,Westmeade Elementary,All Students,55.0,4,7.3,35.0,22,62.9,2.8,3.1,3.0,3.0,3.0,3.0,3.0,,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,6641 Clearbrook Dr,Nashville,37205,23,9,Abigail Tylor,-86.89421,36.091954,Lawson,Lawson,POINT (-9673019.21008378 4313281.488534307),no,no
750,Smith Springs Elementary School,All Students,267.0,24,9,175.0,86,49.1,2.8,2.9,4.0,3.0,5.0,4.0,,,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,3132 Smith Springs Rd,Antioch,37013,8,6,Cheryl Mayes,-86.596572,36.083305,Antioch,Antioch,POINT (-9639886.299483052 4312090.0741882045),no,no
755,Waverly-Belmont Elementary School,All Students,15.0,2,13.3,6.0,*,*,3.1,3.4,3.0,2.0,4.0,3.0,4.0,,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,elementary,2301 10th Ave S,Nashville,37204,18,8,Erin O’Hara Block,-86.786553,36.126181,Hillsboro,Hillsboro,POINT (-9661034.887663448 4317997.60219541),no,no
23,Antioch Middle,All Students,307.0,**,**,218.0,25,11.5,2.5,2.7,1.0,3.0,2.0,2.0,1.0,1.0,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,5050 Blue Hole Rd,Antioch,37013,32,6,Cheryl Mayes,-86.671835,36.055386,Cane Ridge,Cane Ridge,POINT (-9648264.538318627 4308245.078892971),no,no
25,Apollo Middle,All Students,326.0,**,**,258.0,57,22.1,2.6,2.7,4.0,2.0,5.0,4.0,4.0,3.0,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,631 Richards Rd,Antioch,37013,28,7,Freda Player,-86.663428,36.066726,Antioch,Antioch,POINT (-9647328.675359527 4309806.655306835),no,no
35,Moses McKissack Middle,All Students,7.0,*,*,4.0,*,*,*,*,4.0,3.0,4.0,4.0,3.0,3.0,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,916 38th Ave N,Nashville,37209,21,5,Tekendrea Fayne,-86.831197,36.159379,Pearl-Cohn,Pearl-Cohn,POINT (-9666004.635010425 4322573.89564937),no,no
40,Bellevue Middle,All Students,29.0,5,17.2,22.0,11,50,3.3,3.5,5.0,5.0,4.0,5.0,5.0,4.0,both,C,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,655 Colice-Jeanne Rd,Nashville,37221,22,9,Abigail Tylor,-86.934825,36.070756,Lawson,Lawson,POINT (-9677540.45120235 4310361.66127595),no,no
148,Croft Middle,All Students,179.0,**,**,131.0,29,22.1,2.6,2.8,5.0,4.0,5.0,5.0,2.0,5.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,482 Elysian Fields Rd,Nashville,37211,26,7,Freda Player,-86.734153,36.087482,Overton,Overton,POINT (-9655201.746345881 4312665.446620423),no,no
175,Donelson Middle,All Students,70.0,**,**,55.0,14,25.5,2.7,2.9,1.0,1.0,1.0,1.0,3.0,3.0,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,110 Stewarts Ferry Pike,Nashville,37214,15,4,Berthena Nabaa-Mckinney,-86.656354,36.166802,McGavock,McGavock,POINT (-9646541.201281654 4323597.409854967),no,no
185,DuPont Tyler Middle,All Students,63.0,10,15.9,40.0,17,42.5,2.9,3,5.0,5.0,5.0,5.0,4.0,5.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,431 Tyler Dr,Hermitage,37076,14,4,Berthena Nabaa-Mckinney,-86.612017,36.19911,McGavock,McGavock,POINT (-9641605.629018353 4328053.301250847),no,no
190,DuPont Hadley Middle,All Students,29.0,**,**,25.0,6,24,2.6,2.7,1.0,1.0,1.0,1.0,3.0,3.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,1901 Old Hickory Blvd,Old Hickory,37138,11,4,Berthena Nabaa-Mckinney,-86.642794,36.249785,McGavock,McGavock,POINT (-9645031.708986498 4335046.059403867),no,no
275,Goodlettsville Middle,All Students,91.0,**,**,80.0,16,20,2.7,2.9,1.0,3.0,1.0,1.0,2.0,1.0,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,300 S Main St,Goodlettsville,37072,10,3,Zach Young,-86.712469,36.318157,Hunters Lane,Hunters Lane,POINT (-9652787.89450752 4344488.057948782),no,no
295,H. G. Hill Middle,All Students,123.0,8,6.5,92.0,29,31.5,2.8,3,5.0,5.0,3.0,5.0,5.0,4.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,150 Davidson Rd,Nashville,37205,35,9,Abigail Tylor,-86.867878,36.116243,Lawson,Lawson,POINT (-9670087.945252212 4316628.040589223),no,no
