school_number,school_name,wida_student_group,wida_exit_denom,wida_n_exit,wida_pct_exit,wida_growth_standard_denom,wida_n_met_growth_standard,wida_pct_met_growth_standard,wida_literacy_avg,wida_comp_avg,tvaas_overall_comp,tvaas_lit_comp,tvaas_num_comp,tvaas_litandnum_comp,tvaas_sci_comp,tvaas_ss_comp,merge_step1,letter_grade,merge_step2,act_validtests,act_part_rate,act_avg_eng,act_avg_math,act_avg_reading,act_avg_sci,act_avg_comp,num_scoring_21orhigher,pct_scoring_21orhigher,num_scoring_below19,pct_scoring_below19,merge_step3,hs_grad_cohort_state,hs_grad_count_state,hs_grad_rate_state,hs_grad_cohort_federal,hs_grad_count_federal,hs_grad_rate_federal,merge_step4,school_type,short_address,city,zip,metro_dist,schbrd_dist,schbrd_mbr,long,lat,cluster_geo,cluster_name,geometry,within_1mile_park,within_1mile_library
633,Thurgood Marshall Middle,All Students,272.0,17,6.3,216.0,55,25.5,2.8,2.9,3.0,5.0,3.0,4.0,3.0,1.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,5832 Pettus Rd,Antioch,37013,33,6,Cheryl Mayes,-86.661516,36.021796,Cane Ridge,Cane Ridge,POINT (-9647115.83249313 4303620.8826333955),no,no
650,Two Rivers Middle,All Students,59.0,3,5.1,46.0,10,21.7,2.6,2.7,1.0,1.0,4.0,2.0,1.0,1.0,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,2991 McGavock Pike,Nashville,37214,15,4,Berthena Nabaa-Mckinney,-86.673979,36.194474,McGavock,McGavock,POINT (-9648503.207306886 4327413.795186675),no,no
690,West End Middle,All Students,9.0,*,*,6.0,*,*,*,*,5.0,5.0,5.0,5.0,5.0,5.0,both,A,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,3529 West End Ave,Nashville,37205,24,8,Erin O’Hara Block,-86.824499,36.131804,Hillsboro,Hillsboro,POINT (-9665259.017061092 4318772.587929318),no,no
700,Isaiah T. Creswell Middle School of the Arts,All Students,3.0,*,*,3.0,*,*,*,*,4.0,3.0,3.0,3.0,3.0,5.0,both,D,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,3500 John Mallette Dr,Nashville,37218,1,1,Robert Taylor,-86.838327,36.195894,Whites Creek,Whites Creek,POINT (-9666798.34297978 4327609.6709332),no,no
715,Wright Middle,All Students,408.0,**,**,314.0,47,15,2.5,2.6,2.0,3.0,3.0,2.0,2.0,4.0,both,F,both,,,,,,,,,,,,left_only,,,,,,,left_only,middle,180 McCall St,Nashville,37211,16,7,Freda Player,-86.73403,36.09968,Glencliff,Glencliff,POINT (-9655188.054048514 4314345.868945194),no,no
20,Antioch High School,All Students,661.0,**,**,463.0,83,17.9,2.7,2.7,2.0,5.0,1.0,3.0,2.0,1.0,both,F,both,432.0,99.0,13.9,14.9,15.5,16.2,15.2,42,9.7,353,81.7,both,558.0,444,79.6,558.0,425,76.2,both,hs,1900 Hobson Pike,Antioch,37013,8,6,Cheryl Mayes,-86.599423,36.046681,Antioch,Antioch,POINT (-9640203.671351304 4307046.508204721),no,no
53,Nashville Big Picture High School,All Students,3.0,*,*,1.0,*,*,*,*,1.0,3.0,1.0,1.0,2.0,1.0,both,D,both,35.0,100.0,16.7,15.6,19.3,18.0,17.6,7,20,20,57.1,both,35.0,**,**,35.0,**,**,both,hs,160 Rural Ave,Nashville,37209,24,9,Abigail Tylor,-86.85572,36.143095,Lawson,Lawson,POINT (-9668734.522883147 4320328.929201781),no,no
77,Cane Ridge High School,All Students,559.0,**,**,442.0,94,21.3,2.8,2.8,1.0,2.0,1.0,1.0,1.0,1.0,both,F,both,367.0,98.0,14.1,15.1,16.0,16.0,15.4,36,9.8,299,81.5,both,483.0,385,79.7,483.0,377,78.1,both,hs,12848 Old Hickory Blvd,Antioch,37013,33,6,Cheryl Mayes,-86.622172,36.0303,Cane Ridge,Cane Ridge,POINT (-9642736.07844736 4304791.406669879),no,no
203,East Nashville Magnet High School,All Students,1.0,*,*,1.0,*,*,*,*,5.0,5.0,5.0,5.0,3.0,3.0,both,D,both,120.0,99.0,14.0,16.6,16.0,16.1,15.8,13,10.8,98,81.7,both,127.0,121,95.3,127.0,121,95.3,both,hs,110 Gallatin Ave,Nashville,37206,5,1,Robert Taylor,-86.750974,36.179465,Maplewood,Maplewood,POINT (-9657074.251500513 4325343.660871777),no,no
245,Glencliff High School,All Students,571.0,**,**,424.0,65,15.3,2.5,2.5,2.0,4.0,1.0,1.0,3.0,3.0,both,F,both,202.0,98.0,12.0,14.2,13.8,15.1,13.9,**,**,**,**,both,295.0,211,71.5,295.0,205,69.5,both,hs,160 Antioch Pike,Nashville,37211,16,7,Freda Player,-86.727347,36.101298,Glencliff,Glencliff,POINT (-9654444.10589154 4314568.78764836),no,no
335,Hillsboro High,All Students,45.0,9,20,32.0,11,34.4,3.3,3.3,1.0,3.0,1.0,1.0,1.0,3.0,both,C,both,279.0,100.0,19.2,18.0,21.1,19.7,19.6,106,38,128,45.9,both,306.0,284,92.8,306.0,282,92.2,both,hs,3812 Hillsboro Rd,Nashville,37215,25,8,Erin O’Hara Block,-86.81237,36.106673,Hillsboro,Hillsboro,POINT (-9663908.822957259 4315309.357089573),no,no
355,Hume - Fogg High,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,1.0,right_only,A,both,218.0,100.0,28.2,26.6,28.7,27.3,27.9,**,**,**,**,both,220.0,**,**,220.0,**,**,both,hs,700 Broadway,Nashville,37203,19,5,Tekendrea Fayne,-86.781529,36.159272,Pearl-Cohn,Pearl-Cohn,POINT (-9660475.618541704 4322559.142751563),no,no
